"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8288",2922972,"X004340864","PL2857 .A5235 T68 1998","ALDERMAN","Zou bu yuan di zuo tian /","Fan, Xiaoqing,",1998,"6/22/99","10/16/07",0,0,0,1,"2",TRUE,"0",0
"8289",5395523,"X030813339","PL2848 .C54 O8 1966c","ALDERMAN","Ouyang Hai zhi ge /","Jin, Jingmai.",1966,"8/8/11","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8290",2578481,"X001270193","PL2862 .U149 W485","ALDERMAN","Wo zai Taibei ji qi ta /","Xu, Zhongpei,",1986,"7/1/96","1/26/11",2,0,0,1,"2",FALSE,"0",0
"8291",5510402,"X031230887","PL2281 .L5 1962","ALDERMAN","Gu xue kao /","Liao, Ping,",1962,"12/8/11","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8292",2753030,"X004241356","PL2862 .I323 Z96 1996","ALDERMAN","Xiao San zhuan /","Wang, Zhengming.",1996,"12/18/97","3/3/09",2,0,0,1,"2",FALSE,"0",0
"8293",4683001,"X030507675","PL2928 .K8 Z65 2008","ALDERMAN","Yu Guangzhong ping shuo wu shi nian /","",2008,"1/28/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8294",2903663,"X004296359","PL2705 .I17 Y8313 1999","ALDERMAN","Shadows in a Chinese landscape : the notes of a Confucian scholar /","Ji, Yun,",1999,"5/11/99","10/24/07",0,0,0,1,"2 3",FALSE,"0",0
"8295",4692406,"X030408059","PL2272.5 .Q323 2007","ALDERMAN","Qu bi, huan yuan yu chan shi : tan suo Zhongguo gu dai wen xue yan jiu de xin lu jing /","",2007,"2/27/08","1/1/00",1,0,0,1,"2",FALSE,"0",0
"8296",4692397,"X030460172","PL2302 .L5878 2007","ALDERMAN","Zhongguo xian dai zuo jia de gu du ti yan = Zhongguo xiandai zuojiade gudu tiyan /","Liu, Yan.",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8297",4692411,"X030459900","PL2303 .W2534 2007","ALDERMAN","Zhongguo dang dai wen xue zhi du yan jiu, 1949-1976 = Approach to instritutions of Chinese contempora[r]y literature /","Wang, Benchao.",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8298",4692412,"X030385351","PL2308 .W36 2007","ALDERMAN","Zhongguo shi xue de de ben jing shen yan jiu /","Wang, Zhiqing,",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8299",4692400,"X030459593","PL2419 .W65 W36 2007","ALDERMAN","Ming Qing xiao shuo nü xing yan jiu = Mingqing xiaoshuo nüxing yanjiu /","Wang, Yinping,",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8300",4692414,"X030385448","PL2468 .Z6 W368 2007","ALDERMAN","San li yong shi kao lun /","Wang, Xiuchen.",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8301",4692409,"X030459594","PL2831 .T3 Z8745 2007","ALDERMAN","Yu Dafu yan jiu = Yu Dafu yanjiu /","Wu, Jianhua.",2007,"2/27/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8302",254209,"X000081870","PL1455 .B4","ALDERMAN","The Basic English-Chinese Chinese-English dictionary, using simplified characters : with an appendix containing the original complex characters : transliterated in accordance with the new, official Chinese phonetic alphabet /","",1980,"6/28/96","6/27/11",1,0,0,1,"2",FALSE,"0",0
"8303",1036919,"X000429050","PL1115 .C47 1942","ALDERMAN","Chinese reader for beginners, with exercises in writing and speaking,","Chen, Shourong.",1942,"6/29/96","2/10/14",1,0,0,1,"2",FALSE,"0",0
"8304",2960676,"X004349201","PL2333 .T35 1994","ALDERMAN","Dang dai shi ci wen ti lun wen xuan ji /","",1994,"11/1/99","10/4/07",0,0,0,1,"2",FALSE,"0",0
"8305",2628962,"X004092201","PL2478 .L4 1996","ALDERMAN","The wisdom of Confucius.","Confucius.",1996,"4/21/97","9/14/09",1,0,0,1,"2",FALSE,"0",0
