Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
3588788,2,ALDERMAN,STACKS,DC101.3 .G84 1999,1999,Un roi et son historien : vingt études sur le règne de Charles VI et la Chronique du religieux de Saint-Denis /,"Guenée, Bernard.",X004503609,BOOK,12/11/00,5/26/15,CHECKEDOUT,1,0,0,1,44
380716,2,ALDERMAN,STACKS,DC101.3 .M4,1975,Letter to King Richard II : A plea made in 1395 for peace between England and France /,"Mézières, Philippe de,",X000288319,BOOK,6/28/96,12/13/17,CHECKEDOUT,2,20,0,1,24
486917,2,ALDERMAN,STACKS,DC101.3 .N4,1924,"a study in fifteenth century warfare, The English conquest of Normandy, 1416-1424,","Newhall, Richard Ager.",X000699045,BOOK,6/29/96,5/11/11,STACKS,0,0,0,1,5
486917,2,ALDERMAN,STACKS,DC101.3 .N4,1924,"a study in fifteenth century warfare, The English conquest of Normandy, 1416-1424,","Newhall, Richard Ager.",X000699046,BOOK,6/29/96,10/30/17,STACKS,0,0,0,1,2
77258,2,ALDERMAN,STACKS,DC101.3 .N5 1984,1984,"Les  finances du duc de Bourgogne, Philippe le Hardi (1384-1404) : économie et politique /","(Andrée) Nieuwenhuysen, A. van",X001039118,BOOK,6/28/96,3/1/11,STACKS,0,0,1,1,3
569521,2,ALDERMAN,STACKS,DC101.3 .P35,1972,"England, France and Christendom, 1377-99","(John Joseph Norman) Palmer, J. J. N.",X001098235,BOOK,6/29/96,5/2/18,STACKS,2,6,3,1,15
3552252,2,ALDERMAN,STACKS,DC101.5 .A2 A35 2000,2000,"Henry V, Sir Thomas Erpingham and the triumph of the English archers / Agincourt, 1415 :",,X004469000,BOOK,7/24/00,7/25/03,CHECKEDOUT,0,0,0,1,6
4287793,2,ALDERMAN,STACKS,DC101.5 .A2 C869 2005,2005,Agincourt : a new history /,"Curry, Anne.",X004907330,BOOK,10/13/05,11/6/13,CHECKEDOUT,0,6,0,1,15
3591033,2,ALDERMAN,STACKS,DC101.5 .A2 C87 2000,2000,sources and interpretations / The battle of Agincourt :,"Curry, Anne.",X004500602,BOOK,12/18/00,11/6/13,CHECKEDOUT,0,7,1,1,17
945471,2,ALDERMAN,STACKS,DC101.5 .A2 H5,1964,Agincourt.,"Hibbert, Christopher,",X000273626,BOOK,6/29/96,5/9/08,STACKS,0,0,1,1,18
